name_a,name_b,target
Aad,Adriaan,1
Aake,Aarne,1
Aake,Aarno,1
Aake,Arska,1
Aandrea,Drea,1
Aangelina,Ani,1
Aarne,Aarno,1
Aarne,Arska,1
Aaron,Ron,1
Aaron,Ronald,1
Aaron,Ronny,1
Aartsi,Arto,1
Ab,Abbe,1
Ab,Abiel,1
Ab,Abner,1
Ab,Abraham,1
Ab,Absalom,1
Ab,Appie,1
Ab,Bert,1
Ab,Biel,1
Ab,Bram,1
Ab,Eb,1
Abbe,Ab,1
Abbe,Abigail,1
Abbe,Gail,1
Abbe,Nabbe,1
Abbe,Tabitha,1
Abbey,Abbie,1
Abbey,Abby,1
Abbey,Abigail,1
Abbey,Gail,1
Abbey,Nabby,1
Abbie,Abi,1
Abby,Abbie,1
Abby,Abi,1
Abby,Abigail,1
Abby,Gail,1
Abby,Nabby,1
Abdol,Aboli,1
Abdoli,Abdol,1
Abdoli,Aboli,1
Abdollah,Abdol,1
Abdollah,Abdoli,1
Abdolreza,Abdol,1
Abdolreza,Abdoli,1
Abdolreza,Aboli,1
Abe,Ab,1
Abe,Abram,1
Abe,Eb,1
Abel,Ab,1
Abel,Abe,1
Abel,Eb,1
Abel,Ebbe,1
Abertina,Alberta,1
Abertina,Elbert,1
Abiah,Ab,1
Abiah,Abijah,1
Abiah,Biah,1
Abiah,Bige,1
Abigail,Ab,1
Abigail,Abbie,1
Abigail,Abi,1
Abigail,Tabitha,1
Abijah,Ab,1
Abijah,Biah,1
Abijah,Bige,1
Abimbola,Bimbo,1
Abisola,Bisi,1
Abisola,Bisola,1
Abner,Abbe,1
Aboli,Abdol,1
Aboli,Abdoli,1
Aboli,Abdollah,1
Abosede,Bose,1
Abosede,Bosede,1
Abraham,Abe,1
Abraham,Abram,1
Abraham,Avi,1
Abraham,Avraham,1
Abraham,Bram,1
Absalom,Abbe,1
Aca,Aco,1
Aca,Aleks,1
Aca,Aleksa,1
Acho,Angel,1
Acia,Gracia,1
Acia,Gracie,1
Acia,Reba,1
Acia,Ruby,1
Acika,Aleks,1
Acika,Aleksandra,1
Acika,Aleksic,1
Acika,Sandra,1
Acika,Saska,1
Acuille,Quil,1
Acuille,Quille,1
Ad,Adam,1
Ad,Ade,1
Ad,Adelbert,1
Ad,Ado,1
Ad,Adolf,1
Ad,Adoph,1
Ad,Albert,1
Ad,Delbert,1
Ad,Dolph,1
Ad,Ede,1
Ad,Elbert,1
Ad,Olph,1
Ad,Rolf,1
Ad,Rollo,1
Ad,Rudolph,1
Ad,Rudolphus,1
Ada,Adela,1
Ada,Adelaide,1
Ada,Adina,1
Ada,Delia,1
Ada,Dell,1
Ada,Edith,1
Adaline,Ada,1
Adaline,Adela,1
Adaline,Adelaide,1
Adaline,Adele,1
Adaline,Adeliza,1
Adaline,Delia,1
Adaline,Dell,1
Adaline,Edith,1
Adam,Adas,1
Adam,Ede,1
Adas,Ada,1
Adde,Ada,1
Adde,Adaline,1
Adde,Adam,1
Adde,Adela,1
Adde,Adelaide,1
Adde,Adele,1
Adde,Adelia,1
Adde,Adeline,1
Adde,Adeliza,1
Adde,Adelphia,1
Adde,Agatha,1
Adde,Agnes,1
Adde,Aline,1
Adde,Delia,1
Adde,Dell,1
Adde,Edith,1
Adde,Elizabeth,1
Adde,Heide,1
Adde,Lena,1
Adde,Liza,1
Adde,Phille,1
Addie,Adelaide,1
Ade,Ad,1
Ade,Adam,1
Ade,Albert,1
Ade,Ede,1
Ade,Elbert,1
Adela,Adelaide,1
Adelbert,Ade,1
Adelbert,Al,1
Adelbert,Albert,1
Adelbert,Bird,1
Adelbert,Elbert,1
Adele,Adela,1
Adele,Adelaide,1
Adele,Adeliza,1
Adele,Adelphia,1
Adele,Dell,1
Adelia,Adaline,1
Adelia,Adela,1
Adelia,Adelaide,1
Adelia,Adele,1
Adelia,Adeliza,1
Adelia,Dell,1
Adelia,Elizabeth,1
Adelia,Heide,1
Adelia,Liza,1
Adeline,Adaline,1
Adeline,Adela,1
Adeline,Adelaide,1
Adeline,Adele,1
Adeline,Adelia,1
Adeline,Adeliza,1
Adeline,Adelphia,1
Adeline,Dell,1
Adeline,Elizabeth,1
Adeline,Heide,1
Adeline,Liza,1
Adeline,Phille,1
Adeliza,Adela,1
Adeliza,Adelaide,1
Adina,Adela,1
Ado,Dolph,1
Adolf,Ado,1
Adolf,Adoph,1
Adolf,Dolf,1
Adolf,Dolph,1
Adolphus,Ad,1
Adolphus,Ado,1
Adolphus,Adolf,1
Adolphus,Adoph,1
Adolphus,Dolph,1
Adolphus,Olph,1
Adolphus,Rolf,1
Adolphus,Rollo,1
Adolphus,Rudolph,1
Adolphus,Rudolphus,1
Adoph,Ado,1
Adoph,Dolph,1
Adrian,Adi,1
Adriana,Dri,1
Adriana,Drica,1
Afa,Afaq,1
Afa,Afat,1
Afa,Arifa,1
Afat,Afaq,1
